time,PM,sdPM,PT,sdPT,S,sdS,X,sdX,V,Feed,D,Sin
2,0.0350321,0.1,0,0.1,8.31520818,0.25,1.005062828,0.1,1.81,0.41,0.226419518,20
3,0,0.1,0.027606825,0.1,8.942778698,0.25,1.178951772,0.1,2.22,0.41,0.18500161,20
4,0.018245217,0.1,0,0.1,7.759473142,0.25,1.397142671,0.1,2.62,0.41,0.156393286,20
5,0,0.1,0.044342191,0.1,6.750639353,0.25,1.49664681,0.1,3.03,1.59,0.525264287,20
6,0,0.1,0.039189421,0.1,8.844769685,0.25,1.254529644,0.1,4.62,1.59,0.344032665,20
7,0.160394635,0.1,0,0.1,9.198480998,0.25,1.33228344,0.1,6.22,1.59,0.255781005,20
8,0.009834777,0.1,0,0.1,9.089216266,0.25,1.371324842,0.1,7.81,1.59,0.203562831,20
9,0.004137361,0.1,0,0.1,8.110983341,0.25,1.404122498,0.1,9.41,1.59,0.169050793,20
10,0,0.1,0,0.1,7.026916092,0.25,1.828566778,0.1,11.00,1.59,0.144544689,20
11,0,0.1,0,0.1,4.413643775,0.25,2.073545889,0.1,12.59,1.59,0.126243987,20
12,0.023240337,0.1,0.00127732,0.1,1.444873582,0.25,2.444532442,0.1,14.19,1.59,0.112056581,20
13,0.141820502,0.1,0,0.1,0.583144814,0.25,2.699453324,0.1,15.78,1.59,0.100735806,20
14,0.583237223,0.1,0.888716346,0.1,0.457939332,0.25,2.684723274,0.1,17.38,1.59,0.091492559,20
15,1.209896977,0.1,1.718575975,0.1,0.074485178,0.25,2.571915764,0.1,18.97,1.59,0.08380302,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1.59,1.59,20
1,0,0.1,0,0.1,13.1157552,0.25,0.288385915,0.1,2.59,1.59,0.612810982,20
2,0.044937762,0.1,0,0.1,15.15964942,0.25,0.643021105,0.1,4.19,1.59,0.379547222,20
3,0.010063335,0.1,0,0.1,15.51310176,0.25,0.433687864,0.1,5.78,1.59,0.274905625,20
4,0.082607,0.1,0.102049801,0.1,15.62151679,0.25,0.511574839,0.1,7.38,1.59,0.215493755,20
5,0.053615708,0.1,0.08617163,0.1,16.13036455,0.25,0.277790683,0.1,8.97,0.41,0.04569263,20
6,0.089788843,0.1,0.000116208,0.1,15.10162849,0.25,0.499542175,0.1,9.38,0.41,0.043715631,20
7,0,0.1,0,0.1,14.0481488,0.25,0.677828927,0.1,9.78,0.41,0.041904315,20
8,0,0.1,0,0.1,12.92927476,0.25,0.938550225,0.1,10.19,0.41,0.040237127,20
9,0.100777341,0.1,0.058117232,0.1,11.05817502,0.25,0.978693978,0.1,10.59,0.41,0.038697523,20
10,0,0.1,0,0.1,8.61490046,0.25,1.522872309,0.1,11.00,0.41,0.037271398,20
