time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V
35,1.3201128044017003,0.121781412,0.034030381988079,0.003098535,1.3846968821585115,0.150080074,0.0035120023388224,0.001191929,8.679887195598292,0.380218588,0.1628210469543729,0.008754977,0.1327402378416369,0.012569952,1.2386975710228985,0.105628306,0.761302428977101,0.096371694,1.1838605642212403,0.110019531,2.2821994487185733,0.230304533,1.0
36,1.3498005089851317,0.124280403,0.033282564957737,0.003046865,1.3761804362552434,0.149405822,0.0034821569002788,0.001188706,8.65019949101487,0.377719597,0.1592258966463649,0.008487581,0.1326201634199877,0.012393394,1.257358154980913,0.107138128,0.742641845019086,0.094861872,1.2136981886648643,0.112698303,2.295208781820385,0.231477631,1.0
37,1.3788664563415471,0.126725069,0.0325341140840229,0.00299671,1.3680159030778567,0.148754488,0.0034531328837444,0.001185623,8.621133543658459,0.375274931,0.1555484905349707,0.008227022,0.1322472374839338,0.012199316,1.2752939469818538,0.108598702,0.7247060530181453,0.093401298,1.2431660859738682,0.11534013,2.3082011219354666,0.23263684,1.0
38,1.4073163818679997,0.129116949,0.0317863290371864,0.00294802,1.360191255326589,0.148125158,0.0034248253308055,0.001182668,8.592683618132014,0.372883051,0.1518059531108291,0.007973648,0.1316322274104551,0.011989721,1.2925286895241477,0.110011979,0.7074713104758521,0.091988021,1.2722593291267386,0.11794456,2.321159409784131,0.233780785,1.0
39,1.435157192449647,0.131457598,0.0310405548538628,0.002900745,1.3526944362203084,0.147516957,0.0033971408767781,0.001179833,8.564842807550358,0.370542402,0.1480142393790935,0.00772771,0.1307863955765826,0.011766552,1.309086089632775,0.111379824,0.6909139103672246,0.090620176,1.300973655996286,0.120511213,2.3340672330933696,0.234908203,1.0
40,1.462396872275122,0.133748579,0.030298162370971,0.002854839,1.345513389779177,0.14692905,0.0033699975019403,0.001177109,8.537603127724882,0.368251421,0.1441881882936108,0.007489373,0.1297214479733492,0.011531685,1.3249897784177354,0.112704024,0.675010221582264,0.089295976,1.3293054267998323,0.123039785,2.346908814080947,0.236017944,1.0
41,1.4890443879041455,0.135991452,0.0295605282807254,0.002810259,1.3386360944274789,0.146360633,0.0033433241574272,0.00117449,8.510955612095861,0.366008548,0.1403415708027418,0.007258733,0.1284494813195463,0.011286921,1.3402632646692223,0.113986287,0.6597367353307767,0.088013713,1.357251582427172,0.125530042,2.359669001012076,0.237108965,1.0
42,1.5151095930868943,0.138187772,0.028829015404424,0.002766964,1.3320505988936502,0.145810939,0.0033170602733901,0.001171967,8.484890406913108,0.363812228,0.1364871334479881,0.00703582,0.12698292843751,0.011033979,1.3549298839283197,0.11522825,0.6450701160716794,0.08677175,1.384809604375994,0.127981826,2.372333263543033,0.238180332,1.0
43,1.540603133952789,0.140339075,0.0281049537452567,0.002724915,1.325745059371066,0.14527923,0.0032911551609664,0.001169534,8.459396866047214,0.361660925,0.1326366383988522,0.006820615,0.1253345017893205,0.010774492,1.369012744526882,0.116431482,0.6309872554731171,0.085568518,1.4119774770025022,0.130395049,2.3848876915345336,0.239231213,1.0
44,1.5655363552599395,0.142446883,0.0273896228241322,0.002684076,1.3197077769263468,0.1447648,0.0032655673230801,0.001167186,8.434463644740065,0.359553117,0.1288009007401516,0.006613055,0.1235171351985539,0.010510001,1.382534672091528,0.117597485,0.6174653279084711,0.084402515,1.4387536527383058,0.132769696,2.3973189969877304,0.240260882,1.0
45,1.5899212084278085,0.14451269,0.026684235729759,0.002644411,1.313927234199383,0.144266972,0.0032402636918709,0.001164916,8.410078791572191,0.35748731,0.1249898237517928,0.006413039,0.1215439239003317,0.010241952,1.3955181539573962,0.118727701,0.6044818460426018,0.083272299,1.4651370208356065,0.135105821,2.4096145187268587,0.24126871,1.0
46,1.6137701620686733,0.146537963,0.0259899252285361,0.002605885,1.3083921305267454,0.143785097,0.0032152188124576,0.001162721,8.38622983793133,0.355462037,0.1212124328368401,0.006220437,0.1194280631705138,0.009971693,1.4079852848427226,0.119823509,0.5920147151572752,0.082176491,1.4911268800857016,0.137403549,2.4217622294249037,0.242254167,1.0
47,1.6370961156933752,0.14852414,0.0253077321856908,0.002568467,1.3030914147320254,0.143318551,0.0031904139937072,0.001160596,8.362903884306627,0.35347586,0.1174769086631737,0.006035095,0.1171827858826587,0.009700475,1.4199577150022986,0.120886235,0.5800422849976989,0.081113765,1.516722915817009,0.139663069,2.43375074454274,0.243216816,1.0
48,1.6599123171998875,0.150472623,0.0246385964514924,0.002532124,1.298014314956382,0.142866738,0.0031658364466698,0.001158536,8.340087682800108,0.351527377,0.1137906199891839,0.00585684,0.1148212994277403,0.009429447,1.4314566019148318,0.121917146,0.5685433980851656,0.080082854,1.541925181325477,0.14188464,2.4455693327285277,0.244156314,1.0
49,1.6822322846661029,0.15238478,0.0239833502702387,0.002496826,1.293150365043027,0.142429086,0.0031414784304267,0.001156537,8.317767715333893,0.34961522,0.1101601565471766,0.005685484,0.1123567225053004,0.009159662,1.4425025663751927,0.122917461,0.5574974336248046,0.079082539,1.5667340837303756,0.144068581,2.457207927203827,0.245072404,1.0
,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.001,0.0,0.001,2.0,0.201,0.0,0.001,12.5,0.501,0.0,0.001,0.0,0.001,0.0,0.001,2.0,0.201,0.0,0.001,2.0,0.201,1.0
1,0.0378644872566706,0.004650017,0.0190046995484068,0.002811504,1.970553862176788,0.198201224,0.0048838769302637,0.001454199,12.462135512743323,0.497349983,0.0054212119110846,0.001510033,0.0001319301657176,0.001022291,0.0322863739631078,0.004094364,1.9677136260368933,0.197905636,0.0328486801606892,0.004173526,2.00000441926774,0.201000749,1.0
2,0.0756117245543208,0.008288004,0.032217310555958,0.004025935,1.9420185284811595,0.195544529,0.0053435202349312,0.001481431,12.424388275445676,0.493711996,0.0193543876924734,0.002771972,0.0009943742901658,0.001164167,0.0773474974199236,0.008351368,1.9226525025800776,0.193648632,0.0692738300292237,0.007642406,2.000071878745313,0.201011966,1.0
3,0.1138161900324683,0.01198922,0.0401452997050038,0.004704322,1.9142485475538047,0.193014514,0.005562587450667,0.001485131,12.38618380996753,0.49001078,0.036824827704252,0.004276899,0.0028890836865694,0.001465384,0.1265919501632289,0.012933269,1.873408049836772,0.189066731,0.1053645188952317,0.011038705,2.000329653899702,0.20105375,1.0
4,0.1526317657375248,0.01576715,0.0450280924994791,0.005071813,1.8872225672319456,0.190605126,0.0056531047573096,0.001477129,12.347368234262474,0.48623285,0.0553699025417957,0.005786456,0.0058076558732402,0.001912897,0.177595868888993,0.017603156,1.822404131111008,0.184396844,0.1411710051069748,0.014377125,2.0009186770962284,0.20114658,1.0
5,0.1920709982915987,0.01961468,0.0480679005431063,0.005251791,1.8609221365528965,0.188309507,0.0056693708781254,0.001463239,12.307929001708402,0.48238532,0.0737574571813781,0.007192277,0.0096202656357884,0.002476729,0.229084191547746,0.02223971,1.7709158084522552,0.17976029,0.1767813617776847,0.017674712,2.0019628692087053,0.201306458,1.0
6,0.2320802146461952,0.023517109,0.0499540801810782,0.005316439,1.8353309011050205,0.186120712,0.0056421883116255,0.001446662,12.267919785353806,0.478482891,0.0913537146510619,0.008447565,0.014160724292724,0.003124752,0.280338564799012,0.02677831,1.7196614352009894,0.17522169,0.2122773020418455,0.020945695,2.0035583914584896,0.201543869,1.0
7,0.272576292198163,0.027457822,0.0510999371507661,0.005309754,1.81043414961241,0.184032068,0.0055897263412749,0.001429174,12.227423707801837,0.474542178,0.1078397450849777,0.009536514,0.0192639379793297,0.003828139,0.3309392709386982,0.031184885,1.6690607290613035,0.170815115,0.2477226278775583,0.024200509,2.0057725038312406,0.201864351,1.0
