time,X,sdX,V,sdV,Feed,batch number
6,4.069516746,0.188510907,5.535293572,0.275,0.5,10
9,6.351217111,0.330869519,6.495167296,0.35,0.5,10
12,11.73124225,0.566819111,9.053565989,0.425,0.5,10
15,18.7286129,0.898897703,10.70495575,0.5,0.5,10
18,25.12760454,1.271879036,10.54403779,0.575,0.5,10
21,32.31592888,1.598558383,14.26339491,0.65,0.5,10
24,34.46827427,1.830093907,13.71359362,0.725,0.5,10
,,,,,,
0,0.471301181,0.025,2.528352372,0.125,0.275,11
3,0.917533475,0.045637363,3.50769698,0.16625,0.275,11
6,1.818645782,0.087762933,4.180541666,0.2075,0.275,11
9,3.877854244,0.171696697,5.546046871,0.24875,0.275,11
12,6.384285825,0.330225507,6.598241785,0.29,0.275,11
15,12.07618769,0.598206255,6.670817746,0.33125,0.275,11
18,19.37657863,0.972841632,6.739617837,0.3725,0.275,11
21,24.86916474,1.376498383,8.123984149,0.41375,0.275,11
24,33.38050261,1.706479467,8.714109945,0.455,0.275,11
,,,,,,
0,2.275665145,0.125,2.404405829,0.125,0.275,12
3,4.522383225,0.217001043,3.137520737,0.16625,0.275,12
6,7.312344945,0.382605547,4.166224196,0.2075,0.275,12
9,13.01332422,0.647426076,5.499024127,0.24875,0.275,12
12,19.46090298,1.000279197,5.592404256,0.29,0.275,12
15,27.82742867,1.370571585,6.532079187,0.33125,0.275,12
18,32.4835323,1.674437068,7.884511939,0.3725,0.275,12
21,38.5164648,1.879772083,8.776804862,0.41375,0.275,12
24,41.55855531,2.003849157,9.320921149,0.455,0.275,12
,,,,,,
0,1.628391584,0.075,1.576951236,0.075,0.275,13
3,2.275894404,0.114910058,2.4262219,0.11625,0.275,13
6,3.517382475,0.196923773,3.089873134,0.1575,0.275,13
9,6.648842247,0.34700937,4.060242489,0.19875,0.275,13
12,12.66345808,0.5930086,4.728208675,0.24,0.275,13
15,17.6628074,0.933165274,5.371911979,0.28125,0.275,13
18,27.38683356,1.306564278,6.654705411,0.3225,0.275,13
21,32.72531235,1.626179257,7.299536244,0.36375,0.275,13
24,39.63072143,1.848732672,8.024216179,0.405,0.275,13
,,,,,,
0,1.3529325,0.075,3.551052305,0.175,0.275,14
3,2.839935897,0.143414434,4.538588977,0.21625,0.275,14
6,5.154686624,0.274299928,5.251180652,0.2575,0.275,14
9,11.53056876,0.50334227,6.033122223,0.29875,0.275,14
12,17.58564449,0.844439839,6.895126885,0.34,0.275,14
15,26.61719202,1.245017396,7.644527744,0.38125,0.275,14
18,30.35937165,1.602769537,8.122788012,0.4225,0.275,14
21,36.20828043,1.853851199,9.639870018,0.46375,0.275,14
24,39.53915961,2.004262998,10.81149801,0.505,0.275,14
,,,,,,
0,1.582381846,0.075,2.433237677,0.125,0.275,15
3,2.632352715,0.133472042,3.645489839,0.16625,0.275,15
6,5.077511449,0.245272144,4.113428634,0.2075,0.275,15
9,7.949228008,0.442898743,4.914367097,0.24875,0.275,15
12,14.68534422,0.747492217,5.539695809,0.29,0.275,15
15,21.62849876,1.127869859,6.362538413,0.33125,0.275,15
18,27.53807051,1.494770436,7.095016928,0.3725,0.275,15
21,36.33612929,1.771804866,8.421428382,0.41375,0.275,15
24,39.49497669,1.947293547,9.826646977,0.455,0.275,15
